Temperature_C,Angle_Mamdani_deg,Angle_Larsen_deg
0.0,0.0,0.0
0.5,-66.66666,-66.66666
1.0,-66.66666,-66.66666
1.5,-66.66666,-66.66666
2.0,-66.66666,-66.66666
2.5,-66.66666,-66.66666
3.0,-66.66666,-66.66666
3.5,-66.66666,-66.66666
4.0,-66.66666,-66.66666
4.5,-66.66666,-66.66666
5.0,-66.66666,-66.66666
5.5,-66.66666,-66.66666
6.0,-66.66666,-66.66666
6.5,-66.66666,-66.66666
7.0,-66.66666,-66.66666
7.5,-66.66666,-66.66666
8.0,-66.66666,-66.66666
8.5,-66.66666,-66.66666
9.0,-66.66666,-66.66666
9.5,-66.66666,-66.66666
10.0,-66.66666,-66.66666
10.5,-65.67413221950225,-66.26356187708068
11.0,-64.69599032527339,-65.83160413436717
11.5,-63.73130094550354,-65.37027213666757
12.0,-62.7792581939794,-64.87899715302531
12.5,-61.83898744662203,-64.3573493721489
13.0,-60.90973400503831,-63.804860606060416
13.5,-59.99066874656713,-63.221209688490646
14.0,-59.081075675673475,-62.606054545454235
14.5,-58.18015878612916,-61.95920825155847
15.0,-57.2872289361702,-61.280481951219485
15.5,-56.401511296769435,-60.56984966883405
16.0,-55.522331958765044,-59.8273036144581
16.5,-54.648925364221505,-59.05300567187771
17.0,-53.78062102519501,-58.24715665634681
17.5,-52.91665034608952,-57.41013224998996
18.0,-52.05633380281747,-56.54236779661015
18.5,-51.19888656213432,-55.64447632908642
19.0,-50.343606434315184,-54.71715048859918
19.5,-49.48967767887211,-53.761260208188844
20.0,-48.63636000000001,-52.77777333333332
20.5,-47.782789893906575,-51.767830505062996
21.0,-46.928170898981136,-50.732686038592625
21.5,-46.07157178306797,-49.673757603328056
22.0,-45.21211818181747,-48.59258888888876
22.5,-44.34878683639307,-47.49087182055327
23.0,-43.48059864209578,-46.370432508834114
23.5,-42.60640801516753,-45.23322397541066
24.0,-41.7250972111555,-44.08133684210523
24.5,-40.83535970280938,-42.916960875379964
25.0,-39.93589538461542,-41.7424218181818
25.5,-39.02518654850305,-40.56011048344309
26.0,-38.101693220338774,-39.37254705882349
26.5,-37.16361987017217,-38.182276974959585
27.0,-36.20910954994487,-36.991963906056846
27.5,-35.235998775497066,-35.804252181954595
28.0,-34.242008219178196,-34.621889552238706
28.5,-33.22448208709662,-33.447556471202894
29.0,-32.180571632896346,-32.28401947565542
29.5,-31.106953531221155,-31.13392821439709
30.0,-29.99999999999999,-29.99999999999999
30.5,-29.53456839309463,-29.76789915346546
31.0,-29.074942382463025,-29.509546622027187
31.5,-28.620164853350747,-29.225551156859172
32.0,-28.169064748201134,-28.91643867698714
32.5,-27.720728771524456,-28.58260629176279
33.0,-27.27417954005507,-28.22439922209557
33.5,-26.828658678179906,-27.84211249296027
34.0,-26.383177570093252,-27.43590433412446
34.5,-25.936949592938785,-27.00592334993748
35.0,-25.48909635793961,-26.55223880597014
35.5,-25.038911806451516,-26.074857992428537
36.0,-24.585450346420473,-25.57373441697601
36.5,-24.127924972444735,-25.048749478949517
37.0,-23.66804217863191,-24.499756038678164
37.5,-23.212855107196045,-23.926542150396298
38.0,-22.760585826988343,-23.328842088969182
38.5,-22.30891905522402,-22.706356208607193
39.0,-21.855447833228876,-22.05871757512864
39.5,-21.397822792742094,-21.38551034488074
40.0,-20.93334034133778,-20.68627954648451
40.5,-20.459263880649463,-19.96049394589982
41.0,-19.972543582007674,-19.207605205581068
41.5,-19.469965653339706,-18.426975407729426
42.0,-18.947673923326683,-17.61793221788042
42.5,-18.40146160526508,-16.77973564799321
43.0,-17.82637798820501,-15.91159975570242
43.5,-17.216400655303165,-15.012671878097656
44.0,-16.5594900849858,-14.082017742671193
44.5,-15.847032515289898,-13.118659877917548
45.0,-15.070722933466651,-12.121534818643504
45.5,-14.220922139451735,-11.089507879888375
46.0,-13.28571428571425,-10.021366491189697
46.5,-12.250944759658886,-8.915812586992311
47.0,-11.099039577702245,-7.771454201552595
47.5,-9.80855189987304,-6.586813107842671
48.0,-8.352140077821007,-5.360312439957205
48.5,-6.695416237863337,-4.090245775700582
49.0,-4.793587274002582,-2.7748064633994054
49.5,-2.588166664183889,-1.4120904354008839
50.0,-5.517669654508949e-16,-5.517669654508949e-16
50.5,2.5881666641839796,1.4120904354008792
51.0,4.793587274002433,2.7748064633994063
51.5,6.695416237863538,4.0902457757005815
52.0,8.352140077820643,5.360312439957204
52.5,9.808551899873034,6.586813107842666
53.0,11.099039577702708,7.771454201552611
53.5,12.25094475965855,8.91581258699228
54.0,13.28571428571455,10.021366491189685
54.5,14.220922139451108,11.089507879888393
55.0,15.070722933466653,12.12153481864348
55.5,15.847032515290582,13.118659877917505
56.0,16.55949008498555,14.08201774267118
56.5,17.216400655303367,15.012671878097693
57.0,17.826377988204307,15.911599755702388
57.5,18.401461605265087,16.77973564799324
58.0,18.947673923327343,17.617932217880416
58.5,19.469965653339518,18.426975407729458
59.0,19.97254358200787,19.207605205581075
59.5,20.459263880648876,19.96049394589983
60.0,20.933340341337818,20.686279546484506
60.5,21.397822792742698,21.38551034488074
61.0,21.85544783322869,22.058717575128615
61.5,22.308919055224216,22.706356208607197
62.0,22.7605858269878,23.328842088969207
62.5,23.21285510719607,23.926542150396287
63.0,23.668042178632483,24.499756038678218
63.5,24.127924972444653,25.048749478949524
64.0,24.58545034642051,25.573734416975935
64.5,25.038911806451036,26.074857992428495
65.0,25.489096357939623,26.55223880597018
65.5,25.93694959293924,27.005923349937518
66.0,26.38317757009333,27.435904334124398
66.5,26.828658678179846,27.842112492960286
67.0,27.27417954005469,28.224399222095638
67.5,27.720728771524445,28.582606291762744
68.0,28.169064748201514,28.916438676987145
68.5,28.620164853350747,29.225551156859222
69.0,29.074942382463206,29.509546622027166
69.5,29.534568393094293,29.767899153465503
70.0,30.000000000000014,30.000000000000014
70.5,31.10695353122194,31.133928214397802
71.0,32.180571632896864,32.28401947565506
71.5,33.22448208709588,33.44755647120336
72.0,34.242008219177386,34.62188955223806
72.5,35.23599877549707,35.804252181954574
73.0,36.209109549945914,36.99196390605765
73.5,37.1636198701731,38.182276974959024
74.0,38.10169322033785,39.37254705882394
74.5,39.02518654850179,40.560110483442166
75.0,39.935895384615385,41.74242181818183
75.5,40.835359702810784,42.91696087538107
76.0,41.72509721115663,44.081336842105024
76.5,42.606408015166394,45.23322397541089
77.0,43.480598642094115,46.370432508832955
77.5,44.348786836393074,47.49087182055326
78.0,45.21211818181918,48.59258888888989
78.5,46.07157178306953,49.67375760332808
79.0,46.92817089897941,50.732686038592554
79.5,47.78278989390484,51.76783050506179
80.0,48.636359999999996,52.77777333333334
80.5,49.48967767887389,53.76126020819013
81.0,50.34360643431739,54.717150488599415
81.5,51.198886562131875,55.64447632908602
82.0,52.05633380281571,56.542367796609156
82.5,52.91665034608948,57.41013224998996
83.0,53.78062102519679,58.24715665634785
83.5,54.648925364224475,59.05300567187836
84.0,55.52233195876206,59.82730361445749
84.5,56.40151129676773,60.56984966883323
85.0,57.287228936170216,61.28048195121951
85.5,58.18015878613089,61.95920825155916
86.0,59.08107567567634,62.60605454545501
86.5,59.99066874656428,63.22120968848997
87.0,60.90973400503669,63.8048606060595
87.5,61.83898744662201,64.35734937214895
88.0,62.779258193980894,64.87899715302596
88.5,63.73130094550655,65.37027213666846
89.0,64.69599032527033,65.8316041343663
89.5,65.67413221950062,66.2635618770799
90.0,66.66666000000001,66.66666000000001
90.5,66.66666000000001,66.66666000000001
91.0,66.66666000000001,66.66666000000001
91.5,66.66666000000001,66.66666000000001
92.0,66.66666000000001,66.66666000000001
92.5,66.66666000000001,66.66666000000001
93.0,66.66666000000001,66.66666000000001
93.5,66.66666000000001,66.66666000000001
94.0,66.66666000000001,66.66666000000001
94.5,66.66666000000001,66.66666000000001
95.0,66.66666000000001,66.66666000000001
95.5,66.66666000000001,66.66666000000001
96.0,66.66666000000001,66.66666000000001
96.5,66.66666000000001,66.66666000000001
97.0,66.66666000000001,66.66666000000001
97.5,66.66666000000001,66.66666000000001
98.0,66.66666000000001,66.66666000000001
98.5,66.66666000000001,66.66666000000001
99.0,66.66666000000001,66.66666000000001
99.5,66.66666000000001,66.66666000000001
100.0,0.0,0.0
